review_id,date,platform,sku_id,rating,review_text
R0001,2026-08-06,JD,SKU005,4,口感浓郁，不会太甜。
R0002,2026-08-15,Tmall,SKU003,3,价格有点贵。
R0003,2026-08-09,JD,SKU004,4,水分充足，包装密封不错。
R0004,2026-08-05,Tmall,SKU005,3,保质期比预期短。
R0005,2026-08-14,Douyin,SKU003,5,清洁效果不错，洗完很清爽。
R0006,2026-08-27,Tmall,SKU005,5,冷藏送达，包装完整。
R0007,2026-08-22,Douyin,SKU004,5,家庭使用很方便。
R0008,2026-08-10,JD,SKU002,3,价格偏高，希望活动多一点。
R0009,2026-08-19,Douyin,SKU001,5,气泡很足，夏天喝很合适。
R0010,2026-08-04,Tmall,SKU005,5,蛋白质含量高，早餐很方便。
R0011,2026-08-26,Tmall,SKU002,4,早餐吃很方便，饱腹感不错。
R0012,2026-08-03,JD,SKU001,5,口感清爽，青柠味很好。
R0013,2026-08-09,Douyin,SKU002,4,独立包装适合带去办公室。
R0014,2026-08-13,Tmall,SKU001,5,无糖但不难喝，会继续购买。
R0015,2026-08-28,JD,SKU005,4,冷藏送达，包装完整。
R0016,2026-08-26,Tmall,SKU004,5,家庭使用很方便。
R0017,2026-08-04,JD,SKU005,5,蛋白质含量高，早餐很方便。
R0018,2026-08-19,Douyin,SKU002,5,早餐吃很方便，饱腹感不错。
R0019,2026-08-25,Douyin,SKU001,1,这次的味道比以前淡。
R0020,2026-08-29,JD,SKU005,5,口感浓郁，不会太甜。
R0021,2026-08-16,Douyin,SKU004,5,家庭使用很方便。
R0022,2026-08-06,Tmall,SKU004,4,水分充足，包装密封不错。
R0023,2026-08-20,Douyin,SKU002,5,早餐吃很方便，饱腹感不错。
R0024,2026-08-23,JD,SKU004,4,湿巾柔软，宝宝使用没有不适。
R0025,2026-08-29,JD,SKU004,4,湿巾柔软，宝宝使用没有不适。
R0026,2026-08-10,JD,SKU003,4,香味自然，控油效果可以。
R0027,2026-08-05,Tmall,SKU001,4,气泡很足，夏天喝很合适。
R0028,2026-08-09,JD,SKU004,5,家庭使用很方便。
R0029,2026-08-15,Tmall,SKU001,4,无糖但不难喝，会继续购买。
R0030,2026-08-28,Douyin,SKU004,4,湿巾柔软，宝宝使用没有不适。
R0031,2026-08-03,Tmall,SKU005,4,冷藏送达，包装完整。
R0032,2026-08-05,JD,SKU005,5,冷藏送达，包装完整。
R0033,2026-08-07,Tmall,SKU001,4,口感清爽，青柠味很好。
R0034,2026-08-15,Tmall,SKU002,3,价格偏高，希望活动多一点。
R0035,2026-08-12,JD,SKU002,5,独立包装适合带去办公室。
R0036,2026-08-30,Douyin,SKU004,3,外包装有破损。
R0037,2026-08-12,Tmall,SKU001,5,气泡很足，夏天喝很合适。
R0038,2026-08-28,Tmall,SKU004,5,家庭使用很方便。
R0039,2026-08-12,JD,SKU005,4,口感浓郁，不会太甜。
R0040,2026-08-01,JD,SKU001,5,口感清爽，青柠味很好。
R0041,2026-08-25,Douyin,SKU002,4,早餐吃很方便，饱腹感不错。
R0042,2026-08-07,Douyin,SKU002,4,独立包装适合带去办公室。
R0043,2026-08-01,Douyin,SKU004,3,经常显示库存不足。
R0044,2026-08-06,Douyin,SKU002,5,早餐吃很方便，饱腹感不错。
R0045,2026-08-20,JD,SKU002,4,独立包装适合带去办公室。
R0046,2026-08-29,JD,SKU003,5,香味自然，控油效果可以。
R0047,2026-08-07,JD,SKU004,5,水分充足，包装密封不错。
R0048,2026-08-13,Douyin,SKU005,5,蛋白质含量高，早餐很方便。
R0049,2026-08-22,Douyin,SKU001,4,气泡很足，夏天喝很合适。
R0050,2026-08-10,Douyin,SKU005,4,冷藏送达，包装完整。
R0051,2026-08-03,JD,SKU001,4,无糖但不难喝，会继续购买。
R0052,2026-08-09,JD,SKU003,4,清洁效果不错，洗完很清爽。
R0053,2026-08-25,Douyin,SKU002,4,早餐吃很方便，饱腹感不错。
R0054,2026-08-22,JD,SKU005,4,冷藏送达，包装完整。
R0055,2026-08-01,Douyin,SKU002,5,燕麦口感很好，不会太甜。
R0056,2026-08-13,JD,SKU003,5,包装设计很好看。
R0057,2026-08-23,Douyin,SKU001,5,口感清爽，青柠味很好。
R0058,2026-08-23,Douyin,SKU003,4,包装设计很好看。
R0059,2026-08-26,Douyin,SKU005,5,冷藏送达，包装完整。
R0060,2026-08-10,Douyin,SKU003,4,包装设计很好看。
R0061,2026-08-10,Tmall,SKU005,3,运输过程中不够冰。
R0062,2026-08-09,Douyin,SKU002,5,早餐吃很方便，饱腹感不错。
R0063,2026-08-03,Douyin,SKU003,4,香味自然，控油效果可以。
R0064,2026-08-28,Douyin,SKU002,4,燕麦口感很好，不会太甜。
R0065,2026-08-09,JD,SKU003,5,香味自然，控油效果可以。
R0066,2026-08-16,Tmall,SKU004,3,外包装有破损。
R0067,2026-08-20,Douyin,SKU005,3,运输过程中不够冰。
R0068,2026-08-04,Douyin,SKU002,5,独立包装适合带去办公室。
R0069,2026-08-02,JD,SKU003,4,清洁效果不错，洗完很清爽。
R0070,2026-08-14,JD,SKU002,5,燕麦口感很好，不会太甜。
R0071,2026-08-28,JD,SKU002,4,早餐吃很方便，饱腹感不错。
R0072,2026-08-21,JD,SKU004,4,水分充足，包装密封不错。
R0073,2026-08-15,Tmall,SKU001,4,口感清爽，青柠味很好。
R0074,2026-08-25,Douyin,SKU002,4,燕麦口感很好，不会太甜。
R0075,2026-08-20,Tmall,SKU001,5,气泡很足，夏天喝很合适。
R0076,2026-08-14,JD,SKU004,5,水分充足，包装密封不错。
R0077,2026-08-18,Tmall,SKU001,4,气泡很足，夏天喝很合适。
R0078,2026-08-29,Tmall,SKU003,4,包装设计很好看。
R0079,2026-08-22,Tmall,SKU002,3,包装容易碎。
R0080,2026-08-23,Tmall,SKU002,4,燕麦口感很好，不会太甜。
R0081,2026-08-13,Tmall,SKU002,5,独立包装适合带去办公室。
R0082,2026-08-03,Tmall,SKU003,3,价格有点贵。
R0083,2026-08-24,JD,SKU003,5,包装设计很好看。
R0084,2026-08-14,JD,SKU005,4,口感浓郁，不会太甜。
R0085,2026-08-25,JD,SKU004,4,湿巾柔软，宝宝使用没有不适。
R0086,2026-08-08,Tmall,SKU004,4,家庭使用很方便。
R0087,2026-08-24,Tmall,SKU002,3,包装容易碎。
R0088,2026-08-04,Tmall,SKU005,4,冷藏送达，包装完整。
R0089,2026-08-29,JD,SKU001,2,包装有凹陷，口感也一般。
R0090,2026-08-20,Tmall,SKU005,3,价格比普通酸奶高。
R0091,2026-08-27,Douyin,SKU001,1,最近买到的气泡不足。
R0092,2026-08-15,JD,SKU001,5,口感清爽，青柠味很好。
R0093,2026-08-16,JD,SKU005,4,蛋白质含量高，早餐很方便。
